year,state,agdistrict,county,region,commodity,dataitem,domaincategory,domain,acres,value,cv
2012,CALIFORNIA,CENTRAL COAST,ALAMEDA,6001,ALMONDS,ALMONDS - OPERATIONS WITH AREA BEARING & NON-BEARING,NOT SPECIFIED,TOTAL,,5,4
2012,CALIFORNIA,CENTRAL COAST,ALAMEDA,6001,"OPERATORS,PRINCIPAL",APPLES - OPERATIONS WITH AREA BEARING & NON-BEARING,"OPERATORS, PRINCIPAL: (GENDER = FEMALE)","OPERATORS, PRINCIPAL",,2,(D)
2012,CALIFORNIA,CENTRAL COAST,ALAMEDA,6001,APPLES,APPLES - OPERATIONS WITH AREA BEARING & NON-BEARING,NOT SPECIFIED,TOTAL,,4,12.9
2012,CALIFORNIA,CENTRAL COAST,ALAMEDA,6001,APRICOTS,APRICOTS - OPERATIONS WITH AREA BEARING & NON-BEARING,NOT SPECIFIED,TOTAL,,7,19
2012,CALIFORNIA,CENTRAL COAST,ALAMEDA,6001,CHERRIES,"CHERRIES, TART - OPERATIONS WITH AREA BEARING & NON-BEARING",NOT SPECIFIED,TOTAL,,5,51.1
2012,CALIFORNIA,CENTRAL COAST,ALAMEDA,6001,"OPERATORS,PRINCIPAL",GRAPES - OPERATIONS WITH AREA BEARING & NON-BEARING,"OPERATORS, PRINCIPAL: (GENDER = FEMALE)","OPERATORS, PRINCIPAL",,15,4.7
2012,CALIFORNIA,CENTRAL COAST,ALAMEDA,6001,GRAPES,GRAPES - OPERATIONS WITH AREA BEARING & NON-BEARING,NOT SPECIFIED,TOTAL,,76,4.8
2012,CALIFORNIA,CENTRAL COAST,ALAMEDA,6001,LEMONS,LEMONS - OPERATIONS WITH AREA BEARING & NON-BEARING,NOT SPECIFIED,TOTAL,,4,8.7
2012,CALIFORNIA,CENTRAL COAST,ALAMEDA,6001,"OPERATORS,PRINCIPAL",OLIVES - OPERATIONS WITH AREA BEARING & NON-BEARING,"OPERATORS, PRINCIPAL: (GENDER = FEMALE)","OPERATORS, PRINCIPAL",,1,(D)
2012,CALIFORNIA,CENTRAL COAST,ALAMEDA,6001,OLIVES,OLIVES - OPERATIONS WITH AREA BEARING & NON-BEARING,NOT SPECIFIED,TOTAL,,6,9.4
2012,CALIFORNIA,CENTRAL COAST,ALAMEDA,6001,OPERATORS,"OPERATORS, (ALL) - NUMBER OF OPERATORS",NOT SPECIFIED,TOTAL,,792,9.7
2012,CALIFORNIA,CENTRAL COAST,ALAMEDA,6001,OPERATORS,"OPERATORS, (ALL), FEMALE - NUMBER OF OPERATORS",NOT SPECIFIED,TOTAL,,298,11.8
